Id,Action
1,0.20637118990475176
2,0.12837335427690746
3,0.008299659832385228
4,0.007042282194568601
5,0.0018062960619084493
6,0.004291962678050897
7,0.14042169417927786
8,0.013179574424372745
9,0.2135066836500861
10,0.020176356207384616
11,0.10643353769264392
12,0.03735339713995648
13,0.10149866707916781
14,0.13177386700625793
15,0.027236769502350412
16,0.11190016848395792
17,0.15064124251409566
18,0.17850994765935047
19,0.006821528791764344
20,0.014167104978461874
21,0.00598209869994929
22,0.018183974631775044
23,0.04153877340531345
24,0.03922169342191688
25,0.00824271617703317
26,0.09175518238561865
27,0.06472829961667664
28,0.04090169437034263
29,0.016096053982138824
30,0.16866958654042455
31,0.0195499923150434
32,0.008868454782862611
33,0.029791350983624523
34,0.02912003439604468
35,0.007585990031904049
36,0.009827244938638261
37,0.015865531126739676
38,0.03322653658125759
39,0.06441253571375745
40,0.11806201541829338
41,0.042646172674325994
42,0.0379046635987773
43,0.036927232336040776
44,0.016107303433560465
45,0.04008571527586225
46,0.041910723503702244
47,0.0011538982965599734
48,0.020421528295253278
49,0.009771047658053903
50,0.055221159360425154
51,0.07124378393127816
52,0.008794629433687624
53,0.004940385116119306
54,0.009833252299873753
55,0.03961563385765744
56,0.004539793569461202
57,0.029697827675596995
58,0.00033058064082780447
59,0.010107243559793757
60,0.04976491220449333
61,0.003033849884518571
62,0.03196511392009435
63,0.06075336018472406
64,0.0026550488862394266
65,0.005267863830976411
66,0.023173211379786673
67,0.041406506714314124
68,0.0006073406525947252
69,0.038467425618572595
70,0.3419997102294138
71,0.028090984637971946
72,0.021589956703989496
73,0.0024804577013292665
74,0.0017002170776217215
75,0.011989457522431213
76,0.001753826071356128
77,0.010545912160992762
78,0.21956114810927305
79,0.5135771555323345
80,0.04797948572720785
81,0.0333257253228581
82,0.011565641291954937
83,0.058313537925833894
84,0.039890967750187474
85,0.010263830980515495
86,0.08478614451282433
87,0.024537362927111367
88,0.004850550252367333
89,0.006792630056328951
90,0.1891867775264314
91,0.017878753497106083
92,0.24504776656690425
93,0.02042046973634688
94,0.022690346745094403
95,0.01574248860808403
96,0.06644327315789383
97,0.47742490119258707
98,0.04832351366143081
99,0.022323553774946558
100,0.0031253197016229916
101,0.05655693789733909
102,0.45415258626771876
103,0.011063094489596408
104,0.017828929515793093
105,0.5743519179246821
106,0.012445740032187489
107,0.011284386538937222
108,0.020268677743303272
109,0.003105712471412331
110,0.029719944310926928
111,0.27302446636180916
112,0.006378233344512656
113,0.028853346868336315
114,0.05968160095468811
115,0.03752801097799938
116,0.03414680860073348
117,0.041817694044163814
118,0.03193777044175349
119,0.004670263561639441
